SOURCE_OBSERVATION_ID,OBSERVED_ON,TAXON_CODE,HOW_MANY,LOCATION_NAME,LATITUDE,LONGITUDE,VALIDITY,PHOTO,LOADED_TIMESTAMP,SOURCE
28888281,2019-07-15 13:13:00,132322,1,Long Mountain Trail,44.3337097168,-70.7574462891,research,https://inaturalist-open-data.s3.amazonaws.com/photos/45057418/square.jpeg,2025-12-13 16:02:53,2
32417884,2019-09-09 12:36:00,84330,1,Long Mountain Trail,44.3334837584,-70.7568852883,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/50842647/square.jpg,2025-12-13 16:02:53,2
97839282,2021-10-08 15:08:00,48095,1,Long Mountain Trail,44.33355,-70.7580033333,research,https://static.inaturalist.org/photos/162782489/square.jpg,2025-12-13 16:02:53,2
240853688,2024-09-07 11:13:00,123127,1,Long Mountain Trail,44.3319083333,-70.7524033333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167826/square.jpeg,2025-12-13 16:02:53,2
240853650,2024-09-07 11:11:00,125684,1,Long Mountain Trail,44.3318666667,-70.7524033333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167744/square.jpeg,2025-12-13 16:02:53,2
240853513,2024-09-07 11:04:00,157728,1,Long Mountain Trail,44.33273,-70.7553333333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167522/square.jpeg,2025-12-13 16:02:53,2
240853465,2024-09-07 10:56:00,55268,1,Long Mountain Trail,44.3340216667,-70.758575,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167451/square.jpeg,2025-12-13 16:02:53,2
14245923,2018-07-08 10:42:00,118365,1,Long Mountain Trail,44.3306840841,-70.7597881928,needs_id,https://static.inaturalist.org/photos/21142669/square.jpeg,2025-12-13 16:02:53,2
89427134,2021-07-30 11:50:00,48707,1,Long Mountain Trail,44.332425,-70.7562866667,needs_id,https://static.inaturalist.org/photos/147674528/square.jpg,2025-12-13 16:02:53,2
89426371,2021-07-30 11:49:00,417398,1,Long Mountain Trail,44.332745,-70.75595,needs_id,https://static.inaturalist.org/photos/147673169/square.jpg,2025-12-13 16:02:53,2
89249179,2021-07-30 12:10:00,417398,1,Long Mountain Trail,44.3318946753,-70.75174517,research,https://static.inaturalist.org/photos/147363088/square.jpg,2025-12-13 16:02:53,2
184558812,2023-09-22 13:26:00,64076,1,Long Mountain Trail,44.3313665811,-70.7574133935,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/322176592/square.jpg,2025-12-13 16:02:53,2
302588169,2025-07-30 12:39:00,47588,1,Long Mountain Trail,44.3323666667,-70.7534633333,research,https://static.inaturalist.org/photos/545336771/square.jpg,2025-12-13 16:02:53,2
302587880,2025-07-30 12:43:00,136399,1,Long Mountain Trail,44.3321416667,-70.75235,needs_id,https://static.inaturalist.org/photos/545336179/square.jpg,2025-12-13 16:02:53,2
299925016,2025-07-21 15:31:00,417398,1,Long Mountain Trail,44.333739888,-70.7521552102,needs_id,https://static.inaturalist.org/photos/540363605/square.jpg,2025-12-13 16:02:53,2
299923041,2025-07-21 15:24:00,125389,1,Long Mountain Trail,44.3321741352,-70.7517509424,needs_id,https://static.inaturalist.org/photos/540359920/square.jpg,2025-12-13 16:02:53,2
299919162,2025-07-21 15:09:00,118273,1,Long Mountain Trail,44.3324829631,-70.7556802783,needs_id,https://static.inaturalist.org/photos/540352402/square.jpg,2025-12-13 16:02:53,2
299917091,2025-07-21 15:03:00,84330,1,Long Mountain Trail,44.3341341175,-70.7587098255,needs_id,https://static.inaturalist.org/photos/540349176/square.jpg,2025-12-13 16:02:53,2
299915205,2025-07-21 14:56:00,371588,1,Long Mountain Trail,44.3339492679,-70.7585653038,needs_id,https://static.inaturalist.org/photos/540345550/square.jpg,2025-12-13 16:02:53,2
